ID	Easting	Northing	Habitat	Daily_movement_rate(km/day)	Turning_angle	dist_water	dist_swamp	dist_otw	dist_openfor	dist_ntw	dist_mixfor	dist_devel	dist_ddf	dist_conifer	dist_alvar
elk-115	769928	4992847	13	6.01	NA	200	37311.33	1119.43	6013.01	8890.23	25	10552.31	0	275	65454.02
elk-115	766875	4997444	13	1.42	-0.13	600.52	42503.42	1735.66	1327.12	12072.33	35.36	6973.16	0	201.56	70333.45
elk-115	765949	4998516	13	0.24	-2.38	561.81	43775.98	1691.89	673.15	13008.58	50	5621	0	548.29	71502.91
elk-115	765938	4998276.5	13	0.43	-0.94	550	43561.11	1491.01	863.5	12782.43	125	5826.93	0	400	71279.82
elk-115	766275	4998005	17	0.1	-1.14	302.08	43200.59	1491.64	1015.2	12542.38	0	6215.5	55.9	167.71	70961.42
elk-115	766368	4998051	16	12.43	0.97	213.6	43234.39	1581.34	1105.1	12605.58	0	6194.4	55.9	79.06	71007.18
elk-115	777208	4991996	16	0.52	2.69	571.18	35507.4	661.91	509.9	10722.06	0	14127.65	125	728.01	64371.45
elk-115	776684	4992027	19	0.31	-3.09	491.17	35575.56	134.63	745.82	11012.78	0	14067.54	125	371.65	64395.85
elk-115	776991	4991991.5	13	0.31	3.07	660.49	35528.52	436.61	575.54	10837.95	25	14092.57	0	583.63	64374.26
elk-115	776682	4992006	19	0.68	-2.93	515.39	35550.56	145.77	761.99	10990.37	0	14043.24	125	395.28	64370.96
elk-115	777343	4991828	19	0.75	-2.61	515.39	35335.23	831.04	654.31	10511.48	0	13994.04	25	840.39	64209.95
elk-115	776773	4992405	17	1.88	-2.36	212.13	35951.47	353.55	447.21	11297.12	0	14461.44	160.08	250	64780.79
elk-115	776765	4990679.5	17	0.75	-2.43	247.49	34225.45	447.21	1648.1	9829.8	0	12752.7	125	325	63049.32
elk-115	777261	4991248	13	0.54	-0.69	250	34757.56	996.24	1241.22	10041.17	103.08	13407.2	0	955.25	63625.23
elk-115	777278	4991787	13	0.86	-0.24	527.38	35308.51	771.77	691.47	10519.03	35.36	13949.04	0	919.24	64177.47
elk-115	777089	4992698	17	0.69	-2.96	347.31	36230.83	778.62	50	11417.37	0	14807.71	125	55.9	65085.51
elk-115	777103	4992069	16	0.6	-2.23	555.09	35580.49	552.27	469.71	10831.35	0	14173.26	79.06	632.95	64436.18
elk-115	777569	4992444.5	17	0.93	2.7	90.14	35941.84	1049.4	150	10970.47	0	14640.38	106.07	500.62	64832.6
elk-115	777161	4991608	13	0.79	-3.12	477.62	35131.02	760.35	892.33	10412.07	25	13746.39	0	850	63990.84
elk-115	777521	4992315	13	0.5	-2.17	223.61	35815.39	980.11	201.56	10872.47	25	14506.29	0	550	64703.05
elk-115	777023	4992250.5	13	0.32	-0.03	471.7	35779.23	480.88	353.55	11044.51	25	14347.06	0	425.73	64627.92
elk-115	776703	4992200.5	16	0.66	-1.44	335.41	35750.71	158.11	626.5	11159.08	0	14243.53	100	230.49	64572.41
elk-115	776716	4991541	16	0.24	0.1	257.39	35100.57	403.11	1095.73	10588.26	0	13606.25	90.14	400.78	63922.86
elk-115	776697	4991300	17	0.41	-2.84	150	34850.32	530.33	1333.46	10389.72	0	13351.59	158.11	375	63669.32
elk-115	776852	4991682.5	16	0.43	-1.67	450.69	35226.74	447.21	908.98	10632.56	0	13764.38	75	559.02	64061.32
elk-115	776404	4991815	11	0.79	1.69	375.83	35375.08	0	1105.1	10970.67	25	13804.91	285.04	235.85	64169.82
elk-115	776689	4992477	17	0.21	-1.87	90.14	36025.7	357.95	506.21	11407.37	0	14511.07	250	167.71	64846.25
elk-115	776482	4992499	1	0.54	0.95	0	36050.01	325	691.47	11516.29	25	14490.97	424.26	35.36	64853.18
elk-115	776220	4992966	17	0.24	-2.46	257.39	36550.42	848.9	925.34	12064.33	0	14934.27	412.31	500	65331.92
elk-115	776179	4992733.5	17	0.82	-1.04	176.78	36325.7	650	951.31	11884.71	0	14703.85	371.65	279.51	65103.52
elk-115	776803	4992201	13	0.45	-0.15	380.79	35751.48	254.95	540.83	11115.98	25	14267.2	0	305.16	64581.66
elk-115	777215	4991944	16	0.76	1.92	617.45	35457.41	673.15	559.02	10676.38	0	14079.53	75	776.21	64321.7
elk-115	776667	4991518.5	16	0.8	2.32	201.56	35075.32	375	1145.1	10588.94	0	13569.93	127.48	353.55	63893.38
elk-115	776743	4992377	17	1.31	2.72	201.56	35926.05	301.04	503.12	11295.6	0	14425.37	167.71	200	64751.27
elk-115	777165	4991140.5	16	1.17	-3.08	160.08	34655.2	848.9	1364.28	10006.4	0	13276.01	50	848.9	63513.23
elk-115	776851	4992271	16	0.19	1.06	360.56	35801.96	316.23	471.7	11140.02	0	14327.79	25	325	64636.12
elk-115	776984	4992404	16	0.29	2.95	391.31	35928.84	503.12	279.51	11191.65	0	14485.9	25	275	64774.81
elk-115	776822	4992164	16	0.5	-2.98	436.61	35701.71	275	550.57	11060.09	0	14224.71	25	355.32	64534.21
elk-115	777162	4992526	13	0.03	-0.03	250	36031.8	704.45	79.06	11213.66	35.36	14627.22	0	235.85	64891.38
elk-115	777185	4992552	16	0.63	-3.02	225	36057.29	738.24	50	11226.98	0	14657.87	25	230.49	64918.72
elk-115	776718	4992135	16	0.68	2.72	403.89	35675.71	150	665.68	11091.58	0	14170.61	125	291.55	64497.72
elk-115	777094	4992966.5	17	0.04	2.85	412.31	36481.25	980.11	201.56	11638.75	0	15055.94	313.25	125	65336.75
elk-115	777088	4992922.5	17	0.71	-0.67	403.11	36431.25	941.08	152.07	11592.48	0	15007.54	325	103.08	65286.99
elk-115	777269	4992616	20	0.25	1.54	145.77	36134.42	862.05	0	11258.03	50	14756.57	106.07	257.39	65003.32
elk-115	777061	4992485	13	0.78	1.04	350.89	36005	604.67	182	11230.12	75	14577.38	0	213.6	64856.71
elk-115	776142	4992962.5	17	1.52	-2.97	195.26	36550.86	869.63	985.2	12097.31	0	14919.89	340.04	505.59	65325.65
elk-115	776946	4992350	16	0.08	-0.82	375	35878.14	436.61	347.31	11166.5	0	14425.02	25	328.82	64720.25
elk-115	777029	4992364.5	16	0.51	-2.78	403.89	35879.61	529.74	265.75	11125.67	0	14450.13	25	328.82	64729.87
elk-115	776523	4992459	17	0.78	2.24	25	36025.08	304.14	649.04	11471.95	0	14477.44	371.65	55.9	64832.72
elk-115	777113	4992976.5	17	0.37	-1.68	443	36506.71	1015.2	225	11652.49	0	15086.42	325	160.08	65364.08
elk-115	776837	4993230	14	0.26	0.39	378.32	36777.46	1123.61	348.21	12011.58	55.9	15286.96	25	0	65611.52
elk-115	776709	4993501	17	1.12	-2.42	158.11	37051.43	1358.54	213.6	12303.86	0	15532.33	50	125	65876.1
elk-115	776399	4992429	14	0.1	2.82	70.71	36000.01	279.51	776.21	11504.59	25	14426.1	450.69	0	64796.8
elk-115	776396	4992511	1	0.09	-0.55	0	36075.01	353.55	760.35	11571.79	25	14499.42	496.24	70.71	64871.51
elk-115	776335	4992602	17	0.21	2.35	50	36175.08	460.98	800.39	11683.59	0	14586.83	570.64	150	64966.8
elk-115	776507	4992569	1	0.13	1.88	0	36125.04	400.78	654.31	11572.87	90.14	14569.6	431.57	111.8	64930.1
elk-115	776447	4992458.5	14	0.59	1.59	25	36025	300	721.54	11504.84	25	14461.18	425.73	0	64826.08
elk-115	775931	4992751.5	16	0.46	1.98	50	36352.2	800.39	1202.34	12020.04	0	14682.05	141.42	378.32	65107.99
elk-115	776295	4993025	17	0.16	-3.14	247.49	36600.14	883.88	835.54	12076.84	0	14998.02	369.12	485.41	65388.1
elk-115	776165	4992927.5	17	0.12	1.34	247.49	36500.7	814.32	976.28	12041.41	0	14875.57	353.55	452.77	65277.91
elk-115	776072	4993004.5	17	0.21	-2.82	106.07	36601.44	942.4	1020.42	12175.41	0	14955.02	276.13	570.09	65369.3
elk-115	776184	4992825.5	16	1.96	0.09	201.56	36400.7	719.81	958.19	11951.8	0	14777.43	353.55	353.55	65178.25
elk-115	777064	4991072.5	17	2.58	-2.84	75	34603.61	740.35	1437.23	10006.56	0	13200.38	158.11	766.89	63453.63
elk-115	776652	4993622	16	0.07	1.27	25	37176.02	1471.39	254.95	12438.47	0	15643.41	100	25	65996.03
elk-115	776719	4993655.5	14	0.41	0.19	75	37201.64	1510.38	190.39	12432.84	25	15684.15	145.77	0	66027.76
elk-115	777113	4993766	17	2.4	1.72	225	37282.54	1711.18	134.63	12356.63	0	15610.99	431.57	190.39	66140.25
elk-115	777417	4991386	13	1.05	2.86	141.42	34885.98	1076.16	1101.14	10090.62	35.36	13570.23	0	886	63764.89
elk-115	777002	4992350.5	16	1.12	-3.13	416.08	35878.84	482.83	305.16	11145.99	0	14437.49	25	325	64725.04
elk-115	777428	4991319.5	13	0.02	0.78	111.8	34835.99	1102.55	1151.09	10045.18	25	13522.44	0	873.21	63715.16
elk-115	777422	4991305	13	0.29	0.96	103.08	34811	1116.36	1176.06	10022.47	25	13498.54	0	867.83	63690.29
elk-115	777139	4991241	16	6.81	0.39	226.38	34755.18	877.85	1267.38	10095.95	0	13372.08	25	831.04	63612.73
elk-115	770419	4992371	13	7.75	0.83	111.8	36727.32	500	6592.8	8789.8	150	11171.42	0	437.32	64925.58
elk-115	766185	4998858	13	0.46	-1.68	442.3	44043.2	2101.34	650	13369.98	100	5403.93	0	583.63	71812.88
elk-115	765829	4998566	16	0.67	-1.38	701.78	43875.39	1690.04	548.29	13063.91	0	5510.73	55.9	693.27	71585.35
elk-115	766146	4997978	17	0.24	-2.19	450.69	43206.84	1362.21	884.59	12490.82	0	6190.16	35.36	167.71	70945.02
elk-115	766270	4998230	13	0.27	2.75	230.49	43420.92	1644.12	1090.01	12763.55	145.77	6004.22	0	167.71	71186.07
elk-115	766255	4998004.5	16	0.04	-2.79	325	43205.67	1472.46	995.62	12537.77	0	6207.1	35.36	190.39	70962.83
elk-115	766272	4998042.5	16	0.02	-0.02	309.23	43254.63	1505.2	1027.74	12586.92	0	6160	25	176.78	71012.74
elk-115	766280	4998061.5	16	0.01	-2.57	285.04	43249.54	1523.98	1046.72	12591.51	0	6168.47	35.36	152.07	71011.34
elk-115	766272	4998056	16	0.02	-1.8	285.04	43249.54	1523.98	1046.72	12591.51	0	6168.47	35.36	152.07	71011.34
elk-115	766290	4998039.5	16	0.01	2.6	292.62	43225.07	1507.69	1030.78	12566.95	0	6191.98	50	158.11	70986.38
elk-115	766285	4998040.5	16	1.89	0.93	285.04	43249.54	1523.98	1046.72	12591.51	0	6168.47	35.36	152.07	71011.34
elk-115	765475	4999743	18	9.38	2.59	625.5	45101.14	2150.15	50	13874.62	0	4293.38	206.16	285.04	72798.66
elk-115	777267	4992071	16	1.09	-2.15	482.83	35583.44	701.78	427.2	10770.59	0	14213.42	79.06	673.15	64451.08
elk-115	777265	4992619	20	0.06	-0.14	145.77	36134.42	862.05	0	11258.03	50	14756.57	106.07	257.39	65003.32
elk-115	777256	4992681.5	17	0.87	-0.21	176.78	36184.41	887.76	25	11304.34	0	14804.77	145.77	237.17	65053.07
elk-115	776953	4993502.5	18	0.91	-3.14	134.63	37029.46	1411.56	75	12186.29	0	15565.07	285.04	223.61	65874.55
elk-115	777268	4992645.5	20	1.07	0.31	160.08	36159.41	874.64	0	11281.18	25	14780.67	125	246.22	65028.19
elk-115	777316	4991576	13	1.63	2.91	336.34	35084.12	910.01	908.64	10303.7	75	13740.11	0	1001.25	63956.16
elk-115	776726	4993671.5	14	0.42	1.13	75	37201.64	1510.38	190.39	12432.84	25	15684.15	145.77	0	66027.76
